Province/State,Country/Region,Date,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,1/22/20,0,0,0
Australian Capital Territory,Australia,1/23/20,0,0,0
Australian Capital Territory,Australia,1/24/20,0,0,0
Australian Capital Territory,Australia,1/25/20,0,0,0
Australian Capital Territory,Australia,1/26/20,0,0,0
Australian Capital Territory,Australia,1/27/20,0,0,0
Australian Capital Territory,Australia,1/28/20,0,0,0
Australian Capital Territory,Australia,1/29/20,0,0,0
Australian Capital Territory,Australia,1/30/20,0,0,0
Australian Capital Territory,Australia,1/31/20,0,0,0
Australian Capital Territory,Australia,2/1/20,0,0,0
Australian Capital Territory,Australia,2/2/20,0,0,0
Australian Capital Territory,Australia,2/3/20,0,0,0
Australian Capital Territory,Australia,2/4/20,0,0,0
Australian Capital Territory,Australia,2/5/20,0,0,0
Australian Capital Territory,Australia,2/6/20,0,0,0
Australian Capital Territory,Australia,2/7/20,0,0,0
Australian Capital Territory,Australia,2/8/20,0,0,0
Australian Capital Territory,Australia,2/9/20,0,0,0
Australian Capital Territory,Australia,2/10/20,0,0,0
Australian Capital Territory,Australia,2/11/20,0,0,0
Australian Capital Territory,Australia,2/12/20,0,0,0
Australian Capital Territory,Australia,2/13/20,0,0,0
Australian Capital Territory,Australia,2/14/20,0,0,0
Australian Capital Territory,Australia,2/15/20,0,0,0
Australian Capital Territory,Australia,2/16/20,0,0,0
Australian Capital Territory,Australia,2/17/20,0,0,0
Australian Capital Territory,Australia,2/18/20,0,0,0
Australian Capital Territory,Australia,2/19/20,0,0,0
Australian Capital Territory,Australia,2/20/20,0,0,0
Australian Capital Territory,Australia,2/21/20,0,0,0
Australian Capital Territory,Australia,2/22/20,0,0,0
Australian Capital Territory,Australia,2/23/20,0,0,0
Australian Capital Territory,Australia,2/24/20,0,0,0
Australian Capital Territory,Australia,2/25/20,0,0,0
Australian Capital Territory,Australia,2/26/20,0,0,0
Australian Capital Territory,Australia,2/27/20,0,0,0
Australian Capital Territory,Australia,2/28/20,0,0,0
Australian Capital Territory,Australia,2/29/20,0,0,0
Australian Capital Territory,Australia,3/1/20,0,0,0
Australian Capital Territory,Australia,3/2/20,0,0,0
Australian Capital Territory,Australia,3/3/20,0,0,0
Australian Capital Territory,Australia,3/4/20,0,0,0
Australian Capital Territory,Australia,3/5/20,0,0,0
Australian Capital Territory,Australia,3/6/20,0,0,0
Australian Capital Territory,Australia,3/7/20,0,0,0
Australian Capital Territory,Australia,3/8/20,0,0,0
Australian Capital Territory,Australia,3/9/20,0,0,0
Australian Capital Territory,Australia,3/10/20,0,0,0
Australian Capital Territory,Australia,3/11/20,0,0,0
Australian Capital Territory,Australia,3/12/20,0,0,0
Australian Capital Territory,Australia,3/13/20,1,0,0
Australian Capital Territory,Australia,3/14/20,1,0,0
Australian Capital Territory,Australia,3/15/20,1,0,0
Australian Capital Territory,Australia,3/16/20,2,0,0
Australian Capital Territory,Australia,3/17/20,2,0,0
Australian Capital Territory,Australia,3/18/20,3,0,0
Australian Capital Territory,Australia,3/19/20,4,0,0
Australian Capital Territory,Australia,3/20/20,6,0,0
Australian Capital Territory,Australia,3/21/20,9,0,0
Australian Capital Territory,Australia,3/22/20,19,0,0
Australian Capital Territory,Australia,3/23/20,32,0,0
Australian Capital Territory,Australia,3/24/20,39,0,0
Australian Capital Territory,Australia,3/25/20,39,0,0
Australian Capital Territory,Australia,3/26/20,53,0,1
Australian Capital Territory,Australia,3/27/20,62,0,1
Australian Capital Territory,Australia,3/28/20,71,0,2
Australian Capital Territory,Australia,3/29/20,77,0,2
Australian Capital Territory,Australia,3/30/20,78,1,2
Australian Capital Territory,Australia,3/31/20,80,1,3
Australian Capital Territory,Australia,4/1/20,84,1,8
Australian Capital Territory,Australia,4/2/20,87,1,11
Australian Capital Territory,Australia,4/3/20,91,1,18
Australian Capital Territory,Australia,4/4/20,93,2,18
Australian Capital Territory,Australia,4/5/20,96,2,28
Australian Capital Territory,Australia,4/6/20,96,2,40
Australian Capital Territory,Australia,4/7/20,96,2,40
Australian Capital Territory,Australia,4/8/20,99,2,40
Australian Capital Territory,Australia,4/9/20,100,2,47
Australian Capital Territory,Australia,4/10/20,103,2,59
Australian Capital Territory,Australia,4/11/20,103,2,59
Australian Capital Territory,Australia,4/12/20,103,2,59
Australian Capital Territory,Australia,4/13/20,102,2,59
Australian Capital Territory,Australia,4/14/20,103,2,72
Australian Capital Territory,Australia,4/15/20,103,3,72
Australian Capital Territory,Australia,4/16/20,103,3,82
Australian Capital Territory,Australia,4/17/20,103,3,81
Australian Capital Territory,Australia,4/18/20,103,3,88
Australian Capital Territory,Australia,4/19/20,103,3,88
Australian Capital Territory,Australia,4/20/20,104,3,91
Australian Capital Territory,Australia,4/21/20,104,3,92
Australian Capital Territory,Australia,4/22/20,104,3,93
Australian Capital Territory,Australia,4/23/20,104,3,93
Australian Capital Territory,Australia,4/24/20,105,3,97
Australian Capital Territory,Australia,4/25/20,106,3,98
Australian Capital Territory,Australia,4/26/20,106,3,99
Australian Capital Territory,Australia,4/27/20,106,3,100
Australian Capital Territory,Australia,4/28/20,106,3,101
Australian Capital Territory,Australia,4/29/20,106,3,101
Australian Capital Territory,Australia,4/30/20,106,3,103
Australian Capital Territory,Australia,5/1/20,106,3,103
Australian Capital Territory,Australia,5/2/20,106,3,103
Australian Capital Territory,Australia,5/3/20,106,3,103
Australian Capital Territory,Australia,5/4/20,107,3,103
Australian Capital Territory,Australia,5/5/20,107,3,103
Australian Capital Territory,Australia,5/6/20,107,3,103
Australian Capital Territory,Australia,5/7/20,107,3,103
Australian Capital Territory,Australia,5/8/20,107,3,103
Australian Capital Territory,Australia,5/9/20,107,3,104
Australian Capital Territory,Australia,5/10/20,107,3,104
Australian Capital Territory,Australia,5/11/20,107,3,104
Australian Capital Territory,Australia,5/12/20,107,3,104
Australian Capital Territory,Australia,5/13/20,107,3,104
Australian Capital Territory,Australia,5/14/20,107,3,104
Australian Capital Territory,Australia,5/15/20,107,3,104
Australian Capital Territory,Australia,5/16/20,107,3,104
Australian Capital Territory,Australia,5/17/20,107,3,104
Australian Capital Territory,Australia,5/18/20,107,3,104
Australian Capital Territory,Australia,5/19/20,107,3,104
Australian Capital Territory,Australia,5/20/20,107,3,104
Australian Capital Territory,Australia,5/21/20,107,3,104
Australian Capital Territory,Australia,5/22/20,107,3,104
Australian Capital Territory,Australia,5/23/20,107,3,104
