fecha,departamento,codigo_departamento,municipio,codigo_municipio,poblacion,casos
2020/02/13,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/14,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/15,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/16,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/17,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/18,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/19,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/20,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/21,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/22,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/23,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/24,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/25,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/26,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/27,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/28,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/02/29,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/01,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/02,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/03,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/04,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/05,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/06,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/07,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/08,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/09,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/10,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/11,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/12,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/13,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/14,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/15,GUATEMALA,01,GUATEMALA,0101,1205668,1
2020/03/16,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/17,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/18,GUATEMALA,01,GUATEMALA,0101,1205668,1
2020/03/19,GUATEMALA,01,GUATEMALA,0101,1205668,1
2020/03/20,GUATEMALA,01,GUATEMALA,0101,1205668,1
2020/03/21,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/22,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/23,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/24,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/25,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/26,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/27,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/28,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/29,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/30,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/03/31,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/01,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/02,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/03,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/04,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/05,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/06,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/07,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/08,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/09,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/10,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/11,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/12,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/13,GUATEMALA,01,GUATEMALA,0101,1205668,1
2020/04/14,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/15,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/16,GUATEMALA,01,GUATEMALA,0101,1205668,1
2020/04/17,GUATEMALA,01,GUATEMALA,0101,1205668,1
2020/04/18,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/19,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/04/20,GUATEMALA,01,GUATEMALA,0101,1205668,4
2020/04/21,GUATEMALA,01,GUATEMALA,0101,1205668,2
2020/04/22,GUATEMALA,01,GUATEMALA,0101,1205668,3
2020/04/23,GUATEMALA,01,GUATEMALA,0101,1205668,3
2020/04/24,GUATEMALA,01,GUATEMALA,0101,1205668,2
2020/04/25,GUATEMALA,01,GUATEMALA,0101,1205668,3
2020/04/26,GUATEMALA,01,GUATEMALA,0101,1205668,2
2020/04/27,GUATEMALA,01,GUATEMALA,0101,1205668,12
2020/04/28,GUATEMALA,01,GUATEMALA,0101,1205668,6
2020/04/29,GUATEMALA,01,GUATEMALA,0101,1205668,5
2020/04/30,GUATEMALA,01,GUATEMALA,0101,1205668,13
2020/05/01,GUATEMALA,01,GUATEMALA,0101,1205668,7
2020/05/02,GUATEMALA,01,GUATEMALA,0101,1205668,0
2020/05/03,GUATEMALA,01,GUATEMALA,0101,1205668,6
2020/05/04,GUATEMALA,01,GUATEMALA,0101,1205668,8
2020/05/05,GUATEMALA,01,GUATEMALA,0101,1205668,4
2020/05/06,GUATEMALA,01,GUATEMALA,0101,1205668,17
2020/05/07,GUATEMALA,01,GUATEMALA,0101,1205668,12
2020/05/08,GUATEMALA,01,GUATEMALA,0101,1205668,10
2020/05/09,GUATEMALA,01,GUATEMALA,0101,1205668,44
2020/05/10,GUATEMALA,01,GUATEMALA,0101,1205668,16
2020/05/11,GUATEMALA,01,GUATEMALA,0101,1205668,34
2020/05/12,GUATEMALA,01,GUATEMALA,0101,1205668,28
2020/05/13,GUATEMALA,01,GUATEMALA,0101,1205668,65
2020/05/14,GUATEMALA,01,GUATEMALA,0101,1205668,53
2020/05/15,GUATEMALA,01,GUATEMALA,0101,1205668,28
2020/05/16,GUATEMALA,01,GUATEMALA,0101,1205668,35
2020/05/17,GUATEMALA,01,GUATEMALA,0101,1205668,41
2020/05/18,GUATEMALA,01,GUATEMALA,0101,1205668,77
2020/05/19,GUATEMALA,01,GUATEMALA,0101,1205668,85
2020/05/20,GUATEMALA,01,GUATEMALA,0101,1205668,110
2020/05/21,GUATEMALA,01,GUATEMALA,0101,1205668,106
2020/05/22,GUATEMALA,01,GUATEMALA,0101,1205668,202
2020/05/23,GUATEMALA,01,GUATEMALA,0101,1205668,64
2020/05/24,GUATEMALA,01,GUATEMALA,0101,1205668,116
2020/05/25,GUATEMALA,01,GUATEMALA,0101,1205668,125
2020/05/26,GUATEMALA,01,GUATEMALA,0101,1205668,97
2020/05/27,GUATEMALA,01,GUATEMALA,0101,1205668,77
2020/05/28,GUATEMALA,01,GUATEMALA,0101,1205668,61
2020/05/29,GUATEMALA,01,GUATEMALA,0101,1205668,61
2020/05/30,GUATEMALA,01,GUATEMALA,0101,1205668,49
